Date,State,District,Mandi,Crop,Season,Month,Year,Arrival Quantity (Tonnes),Market Price (₹/kg),Minimum Price,Maximum Price,Rainfall (mm),Temperature (°C),Humidity (%),Fuel Price,Transport Cost (₹/kg),Distance (km),Festival Season,Supply Index,Demand Index
2021-06-28,Andhra Pradesh,Guntur,Guntur APMC,Jowar,Monsoon,6,2021,217.2,36.6,33.52,40.89,125.5,25.4,79.6,84.29,0.08,20,No,60,93
2023-04-21,Punjab,Jalandhar,Jalandhar APMC,Ragi,Summer,4,2023,384.6,38.11,35.77,43.48,2.4,32.0,57.6,91.92,1.22,266,No,79,101
2021-08-16,Andhra Pradesh,Kurnool,Kurnool Market,Cotton,Monsoon,8,2021,240.6,79.61,70.86,84.92,131.3,26.3,84.3,87.0,1.3,299,Yes,62,76
2025-09-19,Maharashtra,Nashik,Lasalgaon APMC,Wheat,Monsoon,9,2025,136.9,31.9,27.39,34.92,196.0,27.2,83.0,94.38,1.32,280,No,75,79
2022-02-04,Gujarat,Surat,Surat APMC,Cotton,Winter,2,2022,313.6,50.03,45.2,55.3,2.0,7.9,40.6,86.03,0.78,182,No,89,65
2021-02-04,Karnataka,Mysuru,Mysuru APMC,Paddy,Winter,2,2021,253.7,25.69,22.96,29.83,1.6,21.7,67.2,89.52,1.14,254,No,104,115
2020-06-29,Tamil Nadu,Tiruppur,Palladam Market,Wheat,Monsoon,6,2020,80.8,43.96,40.26,49.56,84.3,28.4,92.7,86.52,0.37,85,No,64,116
2025-11-11,Gujarat,Ahmedabad,Ahmedabad APMC,Bajra,Post-Monsoon,11,2025,250.1,20.84,18.42,23.66,7.9,27.4,73.6,92.77,0.68,147,Yes,74,60
2021-04-02,Maharashtra,Mumbai,Vashi APMC,Ragi,Summer,4,2021,56.1,39.35,35.05,46.5,4.1,37.0,20.2,88.95,1.02,229,No,53,76
2024-06-08,Telangana,Karimnagar,Karimnagar APMC,Onion,Monsoon,6,2024,298.6,25.71,22.11,28.5,104.9,31.0,97.1,92.21,1.38,300,No,100,64
2020-10-28,Tamil Nadu,Trichy,Gandhi Market,Onion,Post-Monsoon,10,2020,428.3,21.92,20.59,24.09,0.1,28.2,34.0,87.56,0.58,132,No,97,85
2020-07-25,Karnataka,Bengaluru,Yeshwanthpur APMC,Maize,Monsoon,7,2020,418.8,17.07,15.55,20.12,55.9,34.3,82.6,85.77,0.47,110,No,90,71
2022-04-04,Andhra Pradesh,Chittoor,Chittoor APMC,Tur (Arhar),Summer,4,2022,22.4,66.27,60.93,75.8,1.8,32.7,22.6,86.41,0.3,70,No,75,68
2021-12-26,Karnataka,Hubli,Hubli APMC,Coconut,Winter,12,2021,381.4,37.58,35.09,39.83,9.8,9.3,59.2,88.77,1.23,276,No,78,93
2025-08-12,Gujarat,Rajkot,Rajkot Market,Paddy,Monsoon,8,2025,291.3,64.6,60.78,74.06,118.5,31.8,93.8,92.35,1.02,221,Yes,72,154
2022-03-08,Telangana,Hyderabad,Kukatpally APMC,Tomato,Summer,3,2022,256.5,25.15,23.48,28.66,9.2,43.5,48.0,89.4,1.07,239,No,83,76
2025-06-05,Karnataka,Mysuru,Mysuru APMC,Tur (Arhar),Monsoon,6,2025,231.5,149.67,136.04,179.0,187.2,26.4,91.9,92.25,0.82,177,No,60,113
2024-10-23,Kerala,Palakkad,Palakkad APMC,Soybean,Post-Monsoon,10,2024,332.4,115.75,98.77,122.63,3.4,28.7,34.4,91.41,0.88,192,Yes,72,141
2022-08-19,Telangana,Hyderabad,Bowenpally Market,Paddy,Monsoon,8,2022,132.3,64.58,55.18,70.64,198.1,25.8,70.1,87.7,0.28,64,Yes,60,148
2022-05-11,Haryana,Rohtak,Rohtak APMC,Tur (Arhar),Summer,5,2022,186.1,52.97,46.24,59.5,4.6,37.2,55.8,89.59,0.75,167,No,87,61
2024-04-05,Karnataka,Bengaluru,K.R. Market,Paddy,Summer,4,2024,281.5,30.31,27.74,32.48,2.3,43.5,29.9,91.48,1.13,246,No,70,81
2024-12-28,Uttar Pradesh,Agra,Agra APMC,Groundnut,Winter,12,2024,28.7,56.97,49.07,67.99,8.5,24.2,58.3,92.43,0.32,69,No,85,69
2023-04-05,Maharashtra,Mumbai,Vashi APMC,Tomato,Summer,4,2023,13.4,44.01,38.73,48.0,2.2,32.5,31.5,91.22,0.34,75,No,66,109
2020-09-12,Kerala,Palakkad,Palakkad APMC,Ragi,Monsoon,9,2020,40.1,33.84,28.98,39.79,53.5,32.3,93.7,83.9,1.21,288,No,69,93
2020-08-26,Punjab,Jalandhar,Jalandhar APMC,Wheat,Monsoon,8,2020,331.2,44.55,40.42,53.24,93.7,31.2,88.3,82.87,0.49,119,Yes,102,158
2024-10-29,Punjab,Amritsar,Amritsar Market,Gram (Chana),Post-Monsoon,10,2024,296.2,179.79,165.42,213.96,6.9,26.5,84.4,94.68,0.53,111,Yes,66,180
2020-03-27,Karnataka,Hubli,Hubli APMC,Bajra,Summer,3,2020,214.4,18.0,16.99,19.28,8.3,37.7,25.3,82.99,1.05,254,No,82,73
2020-09-10,Karnataka,Hubli,Hubli APMC,Coconut,Monsoon,9,2020,122.5,35.36,30.26,40.52,97.8,25.3,87.1,85.23,0.05,11,No,54,62
2021-10-19,Tamil Nadu,Thanjavur,Thanjavur APMC,Gram (Chana),Post-Monsoon,10,2021,188.5,56.96,51.85,66.8,2.1,28.2,54.1,85.9,0.34,80,No,91,104
2023-06-19,Telangana,Warangal,Enumamula APMC,Paddy,Monsoon,6,2023,307.8,28.81,24.65,33.87,188.1,32.3,71.3,92.83,1.24,267,No,106,119
2021-12-02,Punjab,Jalandhar,Jalandhar APMC,Gram (Chana),Winter,12,2021,108.4,52.77,46.66,58.32,4.4,9.7,63.1,85.68,0.33,76,No,81,80
2022-04-18,Haryana,Panipat,Panipat Market,Groundnut,Summer,4,2022,197.3,80.06,71.49,87.97,5.8,30.1,27.9,87.37,0.42,95,No,60,75
2020-05-04,Kerala,Thrissur,Thrissur Market,Maize,Summer,5,2020,96.5,19.17,16.89,22.77,2.8,37.7,28.2,85.07,0.5,118,No,85,77
2025-09-25,Kerala,Palakkad,Palakkad APMC,Wheat,Monsoon,9,2025,288.3,30.37,27.78,33.15,163.9,26.8,98.8,97.57,1.22,250,No,70,73
2023-01-03,Maharashtra,Mumbai,Vashi APMC,Tomato,Winter,1,2023,138.4,61.77,55.86,73.69,1.2,5.1,41.8,93.48,1.2,257,Yes,64,150
2020-01-11,Karnataka,Mysuru,Mysuru APMC,Groundnut,Winter,1,2020,183.0,127.05,109.61,138.57,5.7,18.6,54.7,86.91,1.28,295,Yes,68,142
2022-02-04,Telangana,Karimnagar,Karimnagar APMC,Cotton,Winter,2,2022,103.8,128.53,113.41,142.65,7.2,12.8,52.0,89.71,0.45,101,No,62,118
2022-05-09,Andhra Pradesh,Chittoor,Chittoor APMC,Urad,Summer,5,2022,336.2,98.05,93.0,113.09,3.6,39.0,20.8,87.96,0.41,93,No,82,96
2022-11-29,Haryana,Rohtak,Rohtak APMC,Cotton,Post-Monsoon,11,2022,434.6,37.0,32.49,41.76,6.5,18.1,86.2,90.66,1.02,224,Yes,148,95
2020-05-23,Andhra Pradesh,Guntur,Guntur APMC,Sunflower,Summer,5,2020,302.5,49.94,43.58,59.01,6.7,44.8,22.0,87.26,0.58,132,No,63,61
2024-10-30,Kerala,Palakkad,Palakkad APMC,Coconut,Post-Monsoon,10,2024,328.6,81.96,74.54,87.05,3.3,21.7,78.0,90.43,1.26,279,Yes,79,162
2022-01-19,Telangana,Hyderabad,Kukatpally APMC,Jowar,Winter,1,2022,322.1,27.84,25.63,31.33,3.1,24.2,46.9,86.39,1.17,272,Yes,95,107
2022-04-14,Gujarat,Surat,Surat APMC,Sunflower,Summer,4,2022,395.5,62.65,54.33,72.46,3.7,32.1,56.1,89.34,0.61,137,No,81,89
2024-06-24,Andhra Pradesh,Chittoor,Chittoor APMC,Urad,Monsoon,6,2024,61.4,130.71,123.85,145.84,155.0,25.5,97.6,90.2,0.2,45,No,56,82
2020-02-26,Karnataka,Mysuru,Mysuru APMC,Moong,Winter,2,2020,213.6,145.76,129.57,169.35,9.8,23.7,60.2,82.43,0.75,182,No,52,105
2025-01-06,Kerala,Palakkad,Palakkad APMC,Maize,Winter,1,2025,152.4,50.97,43.53,60.59,7.3,15.2,46.0,92.89,0.84,180,Yes,80,152
2020-03-18,Kerala,Ernakulam,Ernakulam Central,Urad,Summer,3,2020,45.9,83.98,78.47,97.51,6.2,32.6,39.5,82.7,0.61,148,No,56,62
2023-12-18,Kerala,Kannur,Kannur Market,Sunflower,Winter,12,2023,225.3,58.19,52.1,65.41,9.9,10.7,53.1,92.0,0.11,23,No,86,88
2021-08-25,Andhra Pradesh,Kurnool,Kurnool Market,Onion,Monsoon,8,2021,239.6,23.7,22.38,25.35,125.0,30.3,90.7,86.96,0.59,135,No,97,69
2025-08-29,Andhra Pradesh,Chittoor,Chittoor APMC,Tomato,Monsoon,8,2025,271.5,34.22,30.82,36.9,133.4,28.0,80.7,95.13,1.33,280,No,70,97
2021-01-13,Maharashtra,Nagpur,Kalamna Market,Jowar,Winter,1,2021,216.1,21.93,18.91,25.75,8.8,17.6,65.8,86.53,0.41,95,Yes,107,98
2024-05-18,Kerala,Palakkad,Palakkad APMC,Groundnut,Summer,5,2024,87.3,69.43,59.23,78.09,0.7,39.4,24.6,93.1,0.34,73,No,99,107
2024-06-20,Maharashtra,Nagpur,Kalamna Market,Tomato,Monsoon,6,2024,158.6,25.11,23.08,29.25,183.6,30.8,82.6,95.38,0.68,143,No,82,84
2021-11-29,Haryana,Karnal,Karnal APMC,Gram (Chana),Post-Monsoon,11,2021,21.7,90.65,78.82,96.08,10.0,23.8,32.2,87.82,0.75,171,Yes,93,140
2025-02-09,Punjab,Jalandhar,Jalandhar APMC,Mustard,Winter,2,2025,118.4,39.73,36.65,46.41,8.4,8.3,55.3,97.15,1.2,248,No,99,61
2022-07-16,Haryana,Karnal,Karnal APMC,Onion,Monsoon,7,2022,424.3,33.49,29.42,37.0,55.2,34.0,93.9,91.77,0.23,50,No,108,85
2023-03-22,Karnataka,Belagavi,Belagavi Market,Tur (Arhar),Summer,3,2023,298.1,79.52,69.88,89.21,5.3,43.0,51.5,91.11,0.3,65,No,105,112
2021-09-01,Maharashtra,Pune,Pune APMC,Maize,Monsoon,9,2021,661.7,11.71,10.9,13.99,165.2,33.7,82.4,86.55,0.64,149,No,161,103
2021-10-29,Telangana,Hyderabad,Kukatpally APMC,Sunflower,Post-Monsoon,10,2021,164.8,54.9,49.39,64.84,6.9,15.5,46.3,89.0,0.43,96,No,93,95
2022-02-16,Tamil Nadu,Tiruppur,Palladam Market,Cotton,Winter,2,2022,18.0,59.07,50.34,65.19,4.0,8.6,58.8,86.99,0.73,167,No,96,87
2024-12-23,Andhra Pradesh,Guntur,Guntur APMC,Ragi,Winter,12,2024,42.4,27.06,25.24,29.55,4.6,24.0,59.1,95.19,0.66,138,No,102,92
2024-05-24,Punjab,Jalandhar,Jalandhar APMC,Groundnut,Summer,5,2024,332.9,97.06,84.43,113.99,1.7,40.3,43.2,94.29,0.1,22,No,69,98
2020-06-06,Uttar Pradesh,Varanasi,Varanasi APMC,Soybean,Monsoon,6,2020,25.9,33.91,30.46,38.96,62.2,33.2,93.5,82.61,0.64,154,No,103,71
2022-07-03,Tamil Nadu,Salem,Salem APMC,Potato,Monsoon,7,2022,248.0,27.42,24.66,30.89,53.6,34.7,70.0,90.6,0.43,94,No,53,74
2023-11-03,Maharashtra,Mumbai,Vashi APMC,Onion,Post-Monsoon,11,2023,326.3,33.1,28.58,36.28,6.5,29.9,61.0,92.02,0.76,166,No,100,112
2024-11-12,Tamil Nadu,Coimbatore,Mettupalayam Market,Ragi,Post-Monsoon,11,2024,276.1,76.76,66.15,88.67,0.0,33.6,37.6,94.3,0.08,16,Yes,66,156
2023-02-25,Andhra Pradesh,Chittoor,Chittoor APMC,Coconut,Winter,2,2023,190.8,39.45,36.27,41.6,5.2,15.3,46.5,91.67,0.68,148,No,88,100
2024-09-02,Tamil Nadu,Madurai,Madurai Central,Gram (Chana),Monsoon,9,2024,107.3,112.31,96.61,126.25,196.9,29.3,78.8,95.34,1.09,229,No,53,107
2022-03-02,Karnataka,Mysuru,Mysuru APMC,Maize,Summer,3,2022,387.0,27.41,24.82,32.03,4.9,31.7,44.5,87.99,0.99,225,No,78,93
2021-11-22,Uttar Pradesh,Varanasi,Varanasi APMC,Potato,Post-Monsoon,11,2021,96.4,32.62,30.53,35.68,2.7,19.3,56.9,89.7,0.49,109,No,73,117
2025-11-19,Tamil Nadu,Tiruppur,Palladam Market,Maize,Post-Monsoon,11,2025,288.0,52.43,46.04,55.66,3.5,30.6,49.8,95.45,0.87,182,Yes,93,172
2024-04-23,Haryana,Panipat,Panipat Market,Gram (Chana),Summer,4,2024,81.8,139.23,130.26,148.12,4.1,41.2,39.4,95.96,1.01,211,No,51,118
2025-05-21,Andhra Pradesh,Chittoor,Chittoor APMC,Gram (Chana),Summer,5,2025,213.1,68.2,62.37,74.79,4.9,30.0,33.0,95.5,0.45,95,No,64,74
2023-04-21,Uttar Pradesh,Varanasi,Varanasi APMC,Ragi,Summer,4,2023,214.8,30.0,26.62,35.34,7.4,38.4,39.9,91.3,1.23,269,No,91,89
2025-03-28,Karnataka,Belagavi,Belagavi Market,Maize,Summer,3,2025,134.9,23.9,21.21,27.99,5.7,33.2,25.1,94.61,1.2,253,No,93,86
2020-03-21,Kerala,Thrissur,Thrissur Market,Jowar,Summer,3,2020,233.9,16.63,15.34,19.35,5.6,40.1,58.1,83.03,0.74,179,No,98,74
2024-12-08,Uttar Pradesh,Varanasi,Varanasi APMC,Tur (Arhar),Winter,12,2024,208.3,90.59,83.75,101.72,3.5,14.9,46.0,94.58,0.61,128,No,65,72
2022-01-30,Uttar Pradesh,Kanpur,Kanpur Mandi,Tomato,Winter,1,2022,188.5,68.56,58.77,79.85,0.6,21.6,44.2,87.11,0.27,62,Yes,68,179
2025-01-28,Andhra Pradesh,Kurnool,Kurnool Market,Soybean,Winter,1,2025,170.1,143.13,134.83,170.6,9.8,13.4,65.4,94.8,0.12,25,Yes,61,140
2025-11-15,Kerala,Thrissur,Thrissur Market,Moong,Post-Monsoon,11,2025,382.1,100.07,94.62,109.21,4.9,23.5,89.6,95.49,1.39,292,No,95,112
2022-09-01,Telangana,Warangal,Enumamula APMC,Cotton,Monsoon,9,2022,126.7,107.98,95.09,116.66,111.6,31.2,99.7,89.53,0.8,178,No,53,85
2024-05-25,Uttar Pradesh,Varanasi,Varanasi APMC,Coconut,Summer,5,2024,106.3,38.4,35.25,42.55,9.7,38.4,23.3,94.53,0.95,200,No,104,106
2025-10-17,Punjab,Amritsar,Amritsar Market,Potato,Post-Monsoon,10,2025,226.1,53.4,46.87,62.32,5.4,31.7,34.4,95.76,0.53,110,Yes,71,147
2025-11-05,Haryana,Panipat,Panipat Market,Coconut,Post-Monsoon,11,2025,279.5,36.03,32.46,42.61,2.3,22.0,63.6,97.26,1.04,213,No,82,76
2020-03-04,Gujarat,Rajkot,Rajkot Market,Groundnut,Summer,3,2020,36.8,106.79,93.15,118.07,8.9,31.2,51.8,82.12,0.08,20,No,63,115
2025-09-24,Tamil Nadu,Thanjavur,Thanjavur APMC,Jowar,Monsoon,9,2025,147.5,46.22,40.86,54.41,95.2,25.6,78.8,96.63,1.43,297,No,60,104
2023-12-10,Tamil Nadu,Coimbatore,Coimbatore APMC,Soybean,Winter,12,2023,31.5,47.64,44.95,53.68,9.6,11.8,62.0,91.89,0.33,72,No,86,82
2025-10-12,Punjab,Jalandhar,Jalandhar APMC,Maize,Post-Monsoon,10,2025,518.6,22.92,21.73,26.34,4.6,29.4,67.5,96.03,0.3,62,Yes,140,143
2025-04-05,Andhra Pradesh,Chittoor,Chittoor APMC,Sunflower,Summer,4,2025,10.0,72.93,64.38,78.48,1.2,39.5,20.8,92.38,1.09,235,No,91,108
